Var1_1	Var1_2	Var1_3	Var1_4	Var1_5	Var1_6	Var1_7	Var1_8	Var1_9
1	1.104	2	0.707	1.7	0.95	0.3	1	0.012
2	1.667	2	0.707	1.7	0.95	0.3	1	0.009
3	2.154	2	0.707	1.7	0.95	0.3	1	0.013
4	2.318	2	0.707	1.7	0.95	0.3	1	0.012
5	2.411	2	0.707	1.7	0.95	0.3	1	0.014
6	2.493	2	0.707	1.7	0.95	0.3	1	0.015
7	2.53	2	0.707	1.7	0.95	0.3	1	0.016
8	2.548	2	0.707	1.7	0.95	0.3	1	0.018
9	2.584	2	0.707	1.7	0.95	0.3	1	0.018
10	2.574	2	0.707	1.7	0.95	0.3	1	0.02
11	2.573	2	0.707	1.7	0.95	0.3	1	0.026
12	2.576	2	0.707	1.7	0.95	0.3	1	0.027
13	2.575	2	0.707	1.7	0.95	0.3	1	0.033
14	2.572	2	0.707	1.7	0.95	0.3	1	0.038
15	2.574	2	0.707	1.7	0.95	0.3	1	0.051
16	2.573	2	0.707	1.7	0.95	0.3	1	0.061
17	2.573	2	0.707	1.7	0.95	0.3	1	0.079
18	2.573	2	0.707	1.7	0.95	0.3	1	0.102
19	2.573	2	0.707	1.7	0.95	0.3	1	0.127
20	2.573	2	0.707	1.7	0.95	0.3	1	0.16
0	0.432	2	0.707	1.8	0.95	0.3	1	0.013
1	0.91	2	0.707	1.8	0.95	0.3	1	0.015
2	1.243	2	0.707	1.8	0.95	0.3	1	0.012
3	1.726	2	0.707	1.8	0.95	0.3	1	0.013
4	1.911	2	0.707	1.8	0.95	0.3	1	0.016
5	2.023	2	0.707	1.8	0.95	0.3	1	0.013
6	2.065	2	0.707	1.8	0.95	0.3	1	0.017
7	2.09	2	0.707	1.8	0.95	0.3	1	0.017
8	2.104	2	0.707	1.8	0.95	0.3	1	0.019
9	2.114	2	0.707	1.8	0.95	0.3	1	0.021
10	2.119	2	0.707	1.8	0.95	0.3	1	0.025
11	2.122	2	0.707	1.8	0.95	0.3	1	0.029
12	2.124	2	0.707	1.8	0.95	0.3	1	0.033
13	2.126	2	0.707	1.8	0.95	0.3	1	0.034
14	2.124	2	0.707	1.8	0.95	0.3	1	0.046
15	2.124	2	0.707	1.8	0.95	0.3	1	0.063
16	2.124	2	0.707	1.8	0.95	0.3	1	0.064
17	2.124	2	0.707	1.8	0.95	0.3	1	0.083
18	2.124	2	0.707	1.8	0.95	0.3	1	0.1
19	2.124	2	0.707	1.8	0.95	0.3	1	0.112
20	2.124	2	0.707	1.8	0.95	0.3	1	0.142
0	0.427	2	0.707	1.9	0.95	0.3	1	0.013
1	0.851	2	0.707	1.9	0.95	0.3	1	0.011
2	1.11	2	0.707	1.9	0.95	0.3	1	0.013
3	1.292	2	0.707	1.9	0.95	0.3	1	0.013
4	1.436	2	0.707	1.9	0.95	0.3	1	0.01
5	1.518	2	0.707	1.9	0.95	0.3	1	0.01
6	1.561	2	0.707	1.9	0.95	0.3	1	0.015
7	1.583	2	0.707	1.9	0.95	0.3	1	0.013
8	1.594	2	0.707	1.9	0.95	0.3	1	0.013
9	1.602	2	0.707	1.9	0.95	0.3	1	0.016
10	1.604	2	0.707	1.9	0.95	0.3	1	0.017
11	1.606	2	0.707	1.9	0.95	0.3	1	0.024
12	1.607	2	0.707	1.9	0.95	0.3	1	0.031
13	1.608	2	0.707	1.9	0.95	0.3	1	0.035
14	1.608	2	0.707	1.9	0.95	0.3	1	0.041
15	1.608	2	0.707	1.9	0.95	0.3	1	0.046
16	1.608	2	0.707	1.9	0.95	0.3	1	0.06
17	1.608	2	0.707	1.9	0.95	0.3	1	0.073
18	1.608	2	0.707	1.9	0.95	0.3	1	0.103
19	1.608	2	0.707	1.9	0.95	0.3	1	0.118
20	1.608	2	0.707	1.9	0.95	0.3	1	0.15
0	0.424	2	0.707	2	0.95	0.3	1	0.011
1	0.823	2	0.707	2	0.95	0.3	1	0.013
2	1.058	2	0.707	2	0.95	0.3	1	0.013
3	1.201	2	0.707	2	0.95	0.3	1	0.013
4	1.291	2	0.707	2	0.95	0.3	1	0.014
5	1.346	2	0.707	2	0.95	0.3	1	0.011
6	1.371	2	0.707	2	0.95	0.3	1	0.012
7	1.397	2	0.707	2	0.95	0.3	1	0.014
8	1.397	2	0.707	2	0.95	0.3	1	0.017
9	1.399	2	0.707	2	0.95	0.3	1	0.019
10	1.401	2	0.707	2	0.95	0.3	1	0.018
11	1.402	2	0.707	2	0.95	0.3	1	0.023
12	1.402	2	0.707	2	0.95	0.3	1	0.029
13	1.402	2	0.707	2	0.95	0.3	1	0.037
14	1.402	2	0.707	2	0.95	0.3	1	0.043
15	1.403	2	0.707	2	0.95	0.3	1	0.056
16	1.403	2	0.707	2	0.95	0.3	1	0.076
17	1.403	2	0.707	2	0.95	0.3	1	0.074
